Route Name,Route Link,Bus Name,Bus Type,Departure Time,Duration,Arrival Time,Star Rating,Price,Seats Available
Tezpur to Guwahati Bus,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Assam State Transport Corporation (ASTC) - 168821,Bharat Benz A/C Seater (2+2),15:45,04h 45m,20:30,3.8,298,8
Tezpur to Guwahati Bus,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Assam State Transport Corporation (ASTC) - 161055,Volvo AC Seater 2+2,16:15,04h 15m,20:30,4.1,298,7
Tezpur to Guwahati Bus,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Chartered Bus - ASTC,A/C Seater Push Back (2+2),11:30,04h 45m,16:15,4.2,442.46,21
Tezpur to Guwahati Bus,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Pranjit Travels (Under ASTC),NON A/C Seater (2+1),11:30,05h 15m,16:45,4.1,450,6
Tezpur to Guwahati Bus,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Chartered Bus - ASTC,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),13:00,04h 00m,17:00,4.5,388,1
Tezpur to Guwahati Bus,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Chartered Bus - ASTC,Volvo AC Seater Pushback 2+2,14:30,04h 00m,18:30,4.4,432.06,19
Tezpur to Guwahati Bus,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Chartered Bus - ASTC,Volvo AC Seater Pushback 2+2,15:30,03h 45m,19:15,4.5,388,19
Tezpur to Guwahati Bus,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,BLUE HILL TRAVELS INDIA LIMITED,NON A/C Seater Semi Sleeper (2+1),21:30,06h 00m,03:30,3.1,400,19
Tezpur to Guwahati Bus,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,PANKAJ TRAVELS,AC Seater (2+2),13:10,04h 40m,17:50,2.4,500,19
Tezpur to Guwahati Bus,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,DESTINY TRAVELS,NON A/C Seater (2+1),23:00,05h 15m,04:15,1,700,19
Tezpur to Guwahati Bus,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Himalayan Travels,NON AC Seater / Sleeper 2+1,23:40,04h 20m,04:00,1.7,700,19
Tezpur to Guwahati Bus,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Shopuris Travels,Non AC Seater (2+1),20:50,06h 10m,03:00,3,494,19
Tezpur to Guwahati Bus,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Shopuris Travels,Non AC Seater (2+1),23:00,05h 00m,04:00,3,494,19
Guwahati to Tezpur Bus,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Assam State Transport Corporation (ASTC) - 139720,Volvo AC Seater 2+2,13:45,04h 15m,18:00,3.7,298,23
Guwahati to Tezpur Bus,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Assam State Transport Corporation (ASTC) - 174839,Bharat Benz A/C Seater (2+2),15:15,04h 00m,19:15,4,298,31
Guwahati to Tezpur Bus,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Mahi Travels(Under ASTC),A/C Seater (2+2),10:50,04h 10m,15:00,4,380.95,25
Guwahati to Tezpur Bus,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Orient Transline,A/C Seater (2+1),11:30,04h 20m,15:50,4.2,380.95,36
Guwahati to Tezpur Bus,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Orient Transline,A/C Seater (2+1),12:15,04h 45m,17:00,4.8,380.95,13
Guwahati to Tezpur Bus,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Orient Transline,A/C Seater (2+1),13:00,04h 10m,17:10,4.3,360,30
Guwahati to Tezpur Bus,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Mahi Travels(Under ASTC),A/C Seater (2+2),14:15,03h 35m,17:50,4.3,360,25
Guwahati to Tezpur Bus,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,WARISPIYA TRAVELS,AC Seater (2+2),15:00,03h 40m,18:40,4.3,360,37
Guwahati to Tezpur Bus,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,WARISPIYA TRAVELS,AC Seater (2+2),15:35,03h 40m,19:15,3.8,500,6
Guwahati to Tezpur Bus,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,WARISPIYA TRAVELS,Bharat Benz A/C Seater (2+2),16:15,03h 25m,19:40,4.3,500,1
Guwahati to Tezpur Bus,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Kalpana Travels,AC Seater (2+2),16:50,03h 25m,20:15,4.7,500,19
Guwahati to Tezpur Bus,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Yatra Travels,NON AC Seater/ Sleeper (2+1),18:45,04h 15m,23:00,3.6,500,19
Guwahati to Tezpur Bus,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Yatra Travels,NON A/C Seater / Sleeper (2+2),19:30,05h 00m,00:30,3.4,350,19
Guwahati to Tezpur Bus,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Yatra Travels,A/C Seater / Sleeper (2+1),20:00,05h 30m,01:30,3.4,648.23,19
Guwahati to Tezpur Bus,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Yatra Travels,NON AC Seater/ Sleeper (2+1),20:30,04h 30m,01:00,4.2,290,19
Guwahati to Tezpur Bus,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,BARBIE TRAVELS,A/C Seater Push Back (2+2),20:30,04h 30m,01:00,3.7,300,19
Guwahati to Tezpur Bus,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Chartered Bus - ASTC,AC Seater (2+2),20:00,03h 45m,23:45,4.6,500,19
Guwahati to Tezpur Bus,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Upasana Travels (Under ASTC),Non AC Seater (2+2),11:00,04h 00m,15:00,2.6,300,19
Guwahati to Tezpur Bus,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Upasana Travels (Under ASTC),A/C Seater (2+2),11:30,04h 30m,16:00,2,500,19
Guwahati to Tezpur Bus,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,KIRAN TRAVELS,A/C Seater (2+1),20:40,03h 50m,00:30,3.1,500,19
Guwahati to Tezpur Bus,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Shopuris Travels,Non AC Seater (2+1),17:00,06h 00m,23:00,2,800,19
Guwahati to Tezpur Bus,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,DESTINY TRAVELS,NON A/C Seater (2+1),17:30,05h 30m,23:00,1.7,600,19
Guwahati to Tezpur Bus,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Brindaban Travels,Non AC Seater (2+2),17:15,04h 00m,21:15,2.8,700,19
Guwahati to Tezpur Bus,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Yatra Travels,NON A/C Seater (2+1),18:00,05h 30m,23:30,1,650,19
Guwahati to Tezpur Bus,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Himalayan Travels,NON AC Seater / Sleeper 2+1,20:30,06h 00m,02:30,3.7,494,19
Guwahati to Tezpur Bus,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Zainab Travels (Under ASTC),A/C Seater (2+1),20:30,05h 00m,01:30,3.4,494,19
Guwahati to Tezpur Bus,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Yatra Travels,A/C Seater / Sleeper (2+1),21:00,05h 00m,02:00,2.1,494,19
Guwahati to Tezpur Bus,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,BLUE HILL TRAVELS INDIA LIMITED,NON A/C Seater Semi Sleeper (2+1),19:00,05h 15m,00:15,2.8,494,19
Guwahati to Tezpur Bus,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,BLUE HILL TRAVELS INDIA LIMITED,NON A/C Seater Semi Sleeper (2+1),20:00,05h 15m,01:15,3,494,19
Guwahati to Nagaon (Assam) Bus,https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Assam State Transport Corporation (ASTC) - 146146,Bharat Benz A/C Seater (2+2),13:00,03h 00m,16:00,4.1,191,19
Guwahati to Nagaon (Assam) Bus,https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Assam State Transport Corporation (ASTC) - 146079,Bharat Benz A/C Seater (2+2),15:00,03h 00m,18:00,3.6,191,19
Guwahati to Nagaon (Assam) Bus,https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Assam State Transport Corporation (ASTC) - 174839,Bharat Benz A/C Seater (2+2),15:15,02h 25m,17:40,4.4,191,19
Guwahati to Nagaon (Assam) Bus,https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Mahi Travels(Under ASTC),A/C Seater (2+2),10:50,02h 40m,13:30,3.1,333.33,19
Guwahati to Nagaon (Assam) Bus,https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Orient Transline,A/C Seater (2+1),11:30,02h 55m,14:25,4.2,280,19
Guwahati to Nagaon (Assam) Bus,https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Kareng Travels,Non AC Seater (2+2),11:45,03h 00m,14:45,4.5,333.33,19
Guwahati to Nagaon (Assam) Bus,https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Orient Transline,A/C Seater (2+1),12:15,02h 45m,15:00,4.1,333.33,19
Guwahati to Nagaon (Assam) Bus,https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Orient Transline,A/C Seater (2+1),13:00,02h 45m,15:45,3.3,494,19
Guwahati to Nagaon (Assam) Bus,https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Mahi Travels(Under ASTC),A/C Seater (2+2),14:15,02h 00m,16:15,4,494,19
Guwahati to Nagaon (Assam) Bus,https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Anindita Travels,NON A/C Seater (2+1),12:30,03h 15m,15:45,2,494,19
Guwahati to Nagaon (Assam) Bus,https://www.redbus.in/bus-tickets/guwahati-to-nagaon,DESTINY TRAVELS,NON A/C Seater (2+1),17:30,03h 00m,20:30,2.5,494,19
Guwahati to Nagaon (Assam) Bus,https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Nishigandha(Divya Tours & Travels),A/C Seater (2+1),21:15,02h 35m,23:50,3,494,19
Nagaon (Assam) to Guwahati Bus,https://www.redbus.in/bus-tickets/nagaon-to-guwahati,TRINAYAN TRANSPORT (Under ASTC),A/C Seater (2+1),12:15,02h 15m,14:30,3.5,200,19
Nagaon (Assam) to Guwahati Bus,https://www.redbus.in/bus-tickets/nagaon-to-guwahati,JOY HANUMAN,Non AC Seater (2+2),13:30,03h 00m,16:30,3.1,291.57,19
Nagaon (Assam) to Guwahati Bus,https://www.redbus.in/bus-tickets/nagaon-to-guwahati,Baikuntha Transport Service,Bharat Benz A/C Seater (2+1),14:00,03h 00m,17:00,3.8,324.04,19
Nagaon (Assam) to Guwahati Bus,https://www.redbus.in/bus-tickets/nagaon-to-guwahati,Chartered Bus - ASTC,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),14:30,02h 30m,17:00,4.5,280.22,19
Nagaon (Assam) to Guwahati Bus,https://www.redbus.in/bus-tickets/nagaon-to-guwahati,Chartered Bus - ASTC,Volvo AC Seater Pushback 2+2,16:00,02h 30m,18:30,4.7,300,19
Nagaon (Assam) to Guwahati Bus,https://www.redbus.in/bus-tickets/nagaon-to-guwahati,Chartered Bus - ASTC,Volvo AC Seater Pushback 2+2,17:00,02h 15m,19:15,4.4,494,19
Nagaon (Assam) to Guwahati Bus,https://www.redbus.in/bus-tickets/nagaon-to-guwahati,Kareng Travels,Non AC Seater (2+1),14:15,02h 30m,16:45,1.5,494,19
Nagaon (Assam) to Guwahati Bus,https://www.redbus.in/bus-tickets/nagaon-to-guwahati,PANKAJ TRAVELS,AC Seater (2+2),14:50,03h 00m,17:50,1,494,19
Nagaon (Assam) to Guwahati Bus,https://www.redbus.in/bus-tickets/nagaon-to-guwahati,Christina Travels,NON A/C Seater (2+2),16:00,02h 20m,18:20,3,494,19
Dhubri to Guwahati Bus,https://www.redbus.in/bus-tickets/dhubri-to-guwahati,MAA MONOSHA TRAVELS,NON A/C Seater (2+1),20:00,07h 30m,03:30,3.5,350,38
Dhubri to Guwahati Bus,https://www.redbus.in/bus-tickets/dhubri-to-guwahati,Yatra,Non AC Seater (2+2),20:15,07h 15m,03:30,2.3,350,40
Dhubri to Guwahati Bus,https://www.redbus.in/bus-tickets/dhubri-to-guwahati,Yatra,Non AC Seater (2+2),11:15,07h 30m,18:45,1.5,300,19
Dhubri to Guwahati Bus,https://www.redbus.in/bus-tickets/dhubri-to-guwahati,Yatra,Non AC Seater (2+2),13:15,07h 15m,20:30,3,300,19
Dhubri to Guwahati Bus,https://www.redbus.in/bus-tickets/dhubri-to-guwahati,Rizwan Travels,Non AC Seater (2+2),12:15,07h 00m,19:15,3,300,19
Dhubri to Guwahati Bus,https://www.redbus.in/bus-tickets/dhubri-to-guwahati,Rizwan Travels,Non AC Seater (2+2),12:30,07h 30m,20:00,3,300,19
Jorhat to Dibrugarh Bus,https://www.redbus.in/bus-tickets/jorhat-to-dibrugarh,Aniruddha Travels,AC Seater (2+2),11:45,04h 30m,16:15,3,604.69,19
Jorhat to Dibrugarh Bus,https://www.redbus.in/bus-tickets/jorhat-to-dibrugarh,MADHURIKA TRAVELS,A/C Seater (2+1),12:45,04h 15m,17:00,4.2,550,19
Jorhat to Dibrugarh Bus,https://www.redbus.in/bus-tickets/jorhat-to-dibrugarh,Chartered Bus - ASTC,Volvo AC Seater Pushback 2+2,13:30,03h 45m,17:15,4.8,494,19
Jorhat to Dibrugarh Bus,https://www.redbus.in/bus-tickets/jorhat-to-dibrugarh,SHIVAM TRAVELS,Bharat Benz A/C Seater (2+1),13:30,03h 30m,17:00,3.8,494,19
Jorhat to Dibrugarh Bus,https://www.redbus.in/bus-tickets/jorhat-to-dibrugarh,Bashudev Transline (Under ASTC),A/C Seater (2+1),14:10,03h 50m,18:00,4.4,494,19
Jorhat to Dibrugarh Bus,https://www.redbus.in/bus-tickets/jorhat-to-dibrugarh,NETWORK TRAVELS,A/C Seater Push Back (2+1),12:15,03h 45m,16:00,2.9,494,19
North Lakhimpur to Jorhat Bus,https://www.redbus.in/bus-tickets/north-lakhimpur-to-jorhat,Sylvan DEE Transport,Non AC Seater (2+1),18:00,10h 30m,04:30,2.8,560,23
North Lakhimpur to Sibsagar Bus,https://www.redbus.in/bus-tickets/north-lakhimpur-to-sibsagar,Assam State Transport Corporation (ASTC) - 173044,Non AC Seater (2+2),13:00,03h 30m,16:30,3,220,23
North Lakhimpur to Sibsagar Bus,https://www.redbus.in/bus-tickets/north-lakhimpur-to-sibsagar,Sylvan DEE Transport,Non AC Seater (2+1),18:00,11h 30m,05:30,1,660,19
Guwahati to Dhubri Bus,https://www.redbus.in/bus-tickets/guwahati-to-dhubri,Assam State Transport Corporation (ASTC) - 150574,Bharat Benz A/C Seater (2+2),12:00,07h 00m,19:00,3.8,410,19
Guwahati to Dhubri Bus,https://www.redbus.in/bus-tickets/guwahati-to-dhubri,Rizwan Travels,A/C Seater (2+2),13:30,06h 00m,19:30,1.4,390,19
Guwahati to Dhubri Bus,https://www.redbus.in/bus-tickets/guwahati-to-dhubri,SREE CHAITANYA,Non AC Seater (2+2),17:30,05h 30m,23:00,3,300,19
Dibrugarh to Jorhat Bus,https://www.redbus.in/bus-tickets/dibrugarh-to-jorhat,Basudev Transline,A/C Seater (2+2),15:15,04h 25m,19:40,3.3,250,30
Dibrugarh to Jorhat Bus,https://www.redbus.in/bus-tickets/dibrugarh-to-jorhat,Maa Laxmi,NON A/C Seater Push Back (2+1),17:00,04h 30m,21:30,5,250,34
Dibrugarh to Jorhat Bus,https://www.redbus.in/bus-tickets/dibrugarh-to-jorhat,Trishul Transport Service,A/C Seater / Sleeper (2+1),19:15,03h 40m,22:55,3.8,700,19
Dibrugarh to Jorhat Bus,https://www.redbus.in/bus-tickets/dibrugarh-to-jorhat,Baikuntha Transport Service,Bharat Benz A/C Seater /Sleeper (2+1),19:30,03h 45m,23:15,3.1,494,19
Dibrugarh to Jorhat Bus,https://www.redbus.in/bus-tickets/dibrugarh-to-jorhat,Purple Wings Coaches,A/C Seater / Sleeper (2+1),19:55,04h 20m,00:15,5,494,19
Dibrugarh to Jorhat Bus,https://www.redbus.in/bus-tickets/dibrugarh-to-jorhat,Ankur Travels (Under ASTC),NON A/C Push Back (2+2),14:45,04h 45m,19:30,2.8,494,19
Dibrugarh to Jorhat Bus,https://www.redbus.in/bus-tickets/dibrugarh-to-jorhat,NEELAKANTHA (RIYA),Tempo Traveler NON A/C,15:15,03h 00m,18:15,1,494,19
Dibrugarh to Jorhat Bus,https://www.redbus.in/bus-tickets/dibrugarh-to-jorhat,Murugan RC Travels,NON A/C Seater (2+1),18:55,28h 05m,23:00,2.6,494,19
Jorhat to Tinsukia Bus,https://www.redbus.in/bus-tickets/jorhat-to-tinsukia,Aniruddha Travels,AC Seater (2+2),11:45,05h 45m,17:30,3.5,636.45,19
Jorhat to Tinsukia Bus,https://www.redbus.in/bus-tickets/jorhat-to-tinsukia,Aroti Travels (Under ASTC),Non AC Seater (2+2),12:20,05h 30m,17:50,4.1,494,19
Jorhat to Tinsukia Bus,https://www.redbus.in/bus-tickets/jorhat-to-tinsukia,Chartered Bus - ASTC,Volvo AC Seater Pushback 2+2,13:30,05h 00m,18:30,4.5,494,19
Jorhat to Tinsukia Bus,https://www.redbus.in/bus-tickets/jorhat-to-tinsukia,MADHURIKA TRAVELS,A/C Seater (2+1),12:45,05h 15m,18:00,1.8,494,19
Tezpur to Dibrugarh Bus,https://www.redbus.in/bus-tickets/tezpur-to-dibrugarh,Aniruddha Travels,NON A/C Seater/ Sleeper (2+1),19:30,08h 30m,04:00,3.6,550,26
Tezpur to Dibrugarh Bus,https://www.redbus.in/bus-tickets/tezpur-to-dibrugarh,Puja Transport,Non AC Seater (2+2),20:00,09h 00m,05:00,2.4,494,25
Tezpur to Dibrugarh Bus,https://www.redbus.in/bus-tickets/tezpur-to-dibrugarh,SANJEEBANI TRAVELS,Non A/C Seater / Sleeper (2+1),21:30,07h 30m,05:00,5,494,23
Tezpur to Dibrugarh Bus,https://www.redbus.in/bus-tickets/tezpur-to-dibrugarh,Puja Transport,NON AC Seater / Sleeper 2+1,20:00,08h 30m,04:30,3.3,494,18
Tezpur to Dibrugarh Bus,https://www.redbus.in/bus-tickets/tezpur-to-dibrugarh,J.S. Travels,Non AC Seater (2+1),20:30,07h 30m,04:00,2.1,494,28
Tezpur to Dibrugarh Bus,https://www.redbus.in/bus-tickets/tezpur-to-dibrugarh,Maa Laxmi,NON A/C Seater Push Back (2+1),22:15,08h 45m,07:00,1.9,494,5
Tezpur to Dibrugarh Bus,https://www.redbus.in/bus-tickets/tezpur-to-dibrugarh,Neha Travels,NON A/C Seater (2+2),22:30,08h 00m,06:30,1.7,494,5
Tezpur to Dibrugarh Bus,https://www.redbus.in/bus-tickets/tezpur-to-dibrugarh,Neha Travels,NON A/C Seater (2+2),22:10,05h 50m,04:00,1.9,494,5
North Lakhimpur to Tezpur Bus,https://www.redbus.in/bus-tickets/north-lakhimpur-to-tezpur,Sparrow Travels (Under ASTC),Non AC Seater (2+2),12:30,06h 15m,18:45,3,350,19
North Lakhimpur to Tezpur Bus,https://www.redbus.in/bus-tickets/north-lakhimpur-to-tezpur,DESTINY TRAVELS,NON A/C Seater (2+1),18:30,04h 30m,23:00,5,350,19
North Lakhimpur to Tezpur Bus,https://www.redbus.in/bus-tickets/north-lakhimpur-to-tezpur,Mayur Travels (Under ASTC),Non AC Seater (2+2),12:15,05h 45m,18:00,1,494,19
Guwahati to Biswanath Charali Bus,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Orient Transline,A/C Seater (2+1),11:30,05h 40m,17:10,4.4,476.19,26
Guwahati to Biswanath Charali Bus,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Orient Transline,A/C Seater (2+1),12:15,06h 40m,18:55,4.5,476.19,32
Guwahati to Biswanath Charali Bus,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Orient Transline,A/C Seater (2+1),13:00,06h 10m,19:10,3.8,476.19,41
Guwahati to Biswanath Charali Bus,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Mahi Travels(Under ASTC),A/C Seater (2+2),14:15,05h 15m,19:30,4.5,600,22
Guwahati to Biswanath Charali Bus,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Shopuris Travels,Non AC Seater (2+1),17:00,05h 45m,22:45,3.2,550,26
Guwahati to Biswanath Charali Bus,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Yatra Travels,NON A/C Seater (2+1),18:00,07h 30m,01:30,3.8,550,16
Guwahati to Biswanath Charali Bus,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Yatra Travels,NON AC Seater/ Sleeper (2+1),18:45,05h 15m,00:00,4,500,35
Guwahati to Biswanath Charali Bus,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,RAYAN TRAVELS,Non A/C Seater / Sleeper (2+1),19:15,06h 45m,02:00,4.1,500,18
